"OBJECTID,N,10,0","ID,N,10,0","ADDRESS,C,80","TERMINAL_N,C,80","LATITUDE,N,24,15","LONGITUDE,N,24,15","INSTALLED,C,80","LOCKED,C,80","INSTALL_DA,C,80","REMOVAL_DA,C,80","TEMPORARY_,C,80","NUMBER_OF_,N,10,0","NUMBER_O_1,N,10,0","X,N,24,15","Y,N,24,15","SE_ANNO_CA,C,80"
74321228,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,YES,NO,1969-12-31T20:00:00.000Z,,NO,13,6,396116.0947985,137894.78124868,
74321229,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,YES,NO,1969-12-31T20:00:00.000Z,,NO,11,3,398602.81213383,136388.57162835,
74321230,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,YES,NO,1969-12-31T20:00:00.000Z,,NO,10,24,396217.55940232,136051.44360649,
74321231,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,YES,NO,1969-12-31T20:00:00.000Z,,NO,13,8,393785.30362802,137766.94307056,
74321232,111,11th & H St NE,31614,38.899983,-76.991383,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,19,400747.47205932,136903.4496248,
74321233,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,YES,NO,1969-12-31T20:00:00.000Z,,NO,14,1,395360.75356309,137331.48834951,
74321234,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,YES,NO,1969-12-31T20:00:00.000Z,,NO,34,1,399572.33452251,136567.84875416,
74321235,114,North Capitol St & F St NW,31624,38.897446,-77.00989,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,17,399142.24595819,136621.83352922,
74321236,115,11th & M St NW,31266,38.905607,-77.027137,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,17,397646.21680293,137528.07359221,
74321237,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,14,393900.88891277,139414.32818096,
74321238,117,14th & G St NW,31238,38.898069,-77.031823,YES,NO,1969-12-31T20:00:00.000Z,,NO,17,4,397239.47532464,136691.42619808,
74321239,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,YES,NO,1969-12-31T20:00:00.000Z,,NO,20,3,395612.7850665,130691.76225178,
74321240,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,16,395959.43911633,135143.52730167,
74321241,125,11th & F St NW,31262,38.897857,-77.026975,YES,NO,1969-12-31T20:00:00.000Z,,NO,13,0,397660.01398863,136667.7570737,
74321242,126,23rd & E St NW,31260,38.896104,-77.049882,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,10,395672.80643508,136473.99663923,
